index,count
के,4560
और,4199
में,3798
है,3154
की,2941
का,2528
से,2498
एक,2221
को,1899
यह,1813
है।,1801
.,1671
कि,1463
नहीं,1412
हैं,1408
भी,1250
पर,1232
मैं,1060
ये,1005
|,982
आप,979
हम,963
इस,919
जो,915
तो,905
"है,",872
हैं।,866
कर,845
बहुत,797
-,768
ही,735
हो,730
लिए,671
क्या,664
कुछ,636
है.,625
वो,589
ने,576
मुझे,563
।,504
वह,502
था,501
"हैं,",491
अपने,485
हैं.,431
सकते,426
?,416
रहे,407
जब,385
वे,382
करते,374
या,374
साथ,371
करने,361
भारत,352
कोई,341
",",333
"में,",332
मैंने,330
लेकिन,328
अब,328
किया,327
रहा,326
मेरे,322
गया,314
होता,305
बारे,302
तरह,302
था।,298
हमारे,292
तक,287
हिन्दी,287
बात,285
इसे,283
लोग,283
काम,282
:,275
यहाँ,271
करना,269
इन,263
पास,261
सब,256
हमें,253
उन्हें,250
सबसे,247
आपको,247
समय,246
उसे,245
अपनी,244
दो,243
जीवन,242
लोगों,241
क्योंकि,241
हमने,239
फिर,235
हूँ,234
थे,230
उस,228
थी,228
किसी,225
हुआ,223
मेरी,220
उनके,220
मे,219
सकता,219
साल,216
उन्होंने,215
अगर,214
रूप,211
कैसे,211
पहले,210
जैसे,205
कम,204
हर,200
जाता,199
होती,198
इसके,196
है?,195
ऐसा,194
सभी,190
इसका,190
जिला,189
जा,185
रही,182
लिये,177
नाम,177
उसने,176
करता,175
उसके,173
दुनिया,171
थे।,171
होने,169
उनकी,168
कई,167
भारतीय,166
कभी,166
मेरा,160
हुए,160
होते,152
लगता,151
अलग,150
आज,150
दिया,150
पता,148
तुम,148
इतिहास,147
"था,",147
उन,147
बार,145
न,145
हमारी,144
ज्यादा,142
प्रकार,141
बाद,140
),139
कहा,139
बाहरी,138
द्वारा,137
(हँसी),137
अधिक,136
हूँ।,136
वाले,136
एवं,135
वहाँ,134
धर्म,134
दिन,134
हुई,134
"कहा,",133
साहित्य,131
देश,131
बना,131
थी।,130
यही,130
बच्चे,129
सरकार,127
देख,126
बच्चों,126
शायद,124
जाते,122
अच्छा,121
भाषा,121
गया।,121
(हंसी),121
आ,120
सारे,119
क्यों,119
मगर,118
तब,118
राज्य,118
अभी,117
देखें,117
प्रमुख,116
कारण,116
तीन,116
उसकी,114
होगा,114
संस्कृत,114
विचार,113
ऐसे,113
कहते,112
बन,111
क्या?,111
वास्तव,111
इसमें,111
हैं?,111
आपके,110
केवल,109
करती,109
होना,108
ले,107
कहानी,107
"से,",106
महत्वपूर्ण,105
विश्व,104
संदर्भ,104
जाती,103
अपना,103
(तालियाँ),102
इसलिए,101
चाहिए,101
था.,100
चाहते,99
शुरू,99
मदद,98
सकती,98
उनका,98
ठीक,97
बड़ा,97
भाग,96
में।,96
घर,95
इससे,94
शहर,94
जगह,93
उत्तर,92
उसका,91
इन्हें,90
कार्य,89
समस्या,89
जहाँ,89
सच,88
ओर,88
चाहता,88
हमेशा,88
वापस,87
(,87
समाचार,87
गए,86
बस,86
जानते,86
चार,86
देखा,85
गूगल,85
जैसा,85
विकास,85
सिर्फ,84
ध्यान,84
मैने,84
"थे,",84
तथा,84
पानी,84
यदि,83
इसकी,83
किया।,83
व्यक्ति,83
देखते,82
है|,82
मतलब,81
दे,81
उपयोग,80
खाना,80
बड़ी,80
बाहर,80
"थी,",79
सही,79
जाने,79
पूरी,79
लगा,78
उदाहरण,78
कड़ियाँ,78
संख्या,78
ऐसी,78
क्षेत्र,78
थे.,77
',77
लगभग,77
आगे,77
अकबर,77
प्रदेश,76
परिवर्तन,76
बदल,76
करीब,76
वाली,76
चीज़,76
प्रयोग,76
अन्य,76
बीच,75
!,75
याद,75
काफी,75
प्रतिशत,74
"लिए,",74
खुद,73
विश्वास,73
नही,71
की।,71
बनाने,71
इस्तेमाल,70
"हूँ,",70
करें,70
गयी,70
वाला,70
अच्छे,69
आता,69
"की,",69
अच्छी,69
पिछले,69
"तो,",68
जाना,68
में.,68
वर्ष,68
हुआ।,68
फ़िर,68
पसंद,68
अर्थ,67
गई,67
व,67
कहाँ,67
दिया।,67
दूसरे,67
पोजीशन,67
जानकारी,67
मुख्य,67
शिक्षा,66
"पर,",66
आपकी,66
सवाल,66
दूसरी,66
बेहतर,66
स्कूल,65
(अभिवादन),65
देने,65
लिया,65
महाभारत,65
ऊपर,65
युद्ध,65
यहां,64
देते,64
दी,64
कौन,64
प्रति,64
आतंकवाद,64
समझ,64
असल,64
पहली,64
अमेरिका,63
विज्ञान,63
जिसे,63
मूल,63
बिना,62
सामान्य,62
अनुभव,62
सोच,62
शब्द,62
दैनिक,62
हमे,61
पुराण,61
ज्ञान,61
"नहीं,",61
विश्वविद्यालय,61
दोनों,61
चीन,61
बनाया,60
गलत,60
प्रभाव,60
देता,60
इसी,60
मत,59
संस्कृति,58
